origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan
SO359660,0.3587008,0.0325,106.7944336,-6.3480757,JAGAKARSA
SO359659,0.138435,0.02653,106.7948829,-6.26207,KEBAYORAN BARU
SO359655,0.16097084,0.073235,106.8476591,-6.4223437,CILODONG
SO359652,0.313133,0.16262000000000001,106.811624,-6.42225,CIPAYUNG
SO359649,0.17227766,0.084006,106.8599643,-6.4585416,CIBINONG
SO359641,0.10568546,0.030542000000000003,106.8529116,-6.4099913,CILODONG
SO359637,0.13055925,0.055244999999999995,106.8078796,-6.3763631,BEJI
SO359635,0.95498405,0.371415,106.737559,-6.231568,LARANGAN
SO359623,0.200758,0.09182,106.837435,-6.3915434,SUKMAJAYA
SO359620,0.13073,0.056604,106.5732079,-6.200834,JATI UWUNG
SO359616,0.24039315,0.12659,106.7812724,-6.2087802,KEBON JERUK
SO359613,0.50316219,0.265992,106.7932761,-6.2574066,KEBAYORAN BARU
SO359605,0.15015,0.035171999999999995,106.6964341,-6.2194023,KARANG TENGAH
SO359600,0.11549942,0.061045,106.671165,-6.179317,BATUCEPER
SO359598,0.159191,0.037991,106.7871952,-6.5089656,BOJONG GEDE
SO359593,0.025688,0.007,107.0226127,-6.4385131,KLAPANUNGGAL
SO359589,0.2829471,0.107,106.83001,-6.324671,JAGAKARSA
SO359585,0.49812206,0.154451,106.8041314,-6.3181518,CINERE
SO359576,0.129,0.03,106.8315236,-6.301218,PASAR MINGGU
SO359575,0.87079925,0.2058,106.8690798,-6.4129375,TAPOS
SO359573,0.2141756,0.080090000000000008,106.7461988,-6.3847766,BOJONGSARI
SO359565,0.090629,0.036836,106.720507,-6.256333,PONDOK AREN
SO359562,0.26327,0.14,106.7607084,-6.3185078,CIPUTAT TIMUR
SO359560,0.025688,0.000871,106.6523453,-6.1717547,TANGERANG
SO359538,0.15802141,0.04555,106.5987827,-6.045523,PAKUHAJI
SO359537,0.17507,0.09,106.71295,-6.2229295,KARANG TENGAH
SO359536,3.1722758,1.0497400000000001,106.5802383,-6.2366981,CURUG
SO359530,0.025688,0.00115,106.5552453,-6.2247496,CIKUPA
SO359528,1.38688342,0.7516,106.789986,-6.450338,BOJONG GEDE
SO359525,0.43,0.1,106.4161223,-6.2184877,BALARAJA
SO359521,0.54197,0.191319,106.7704348,-6.23201,KEBAYORAN LAMA
SO359519,0.172,0.04,106.7997249,-6.3905135,PANCORAN MAS
SO359517,0.12637498,0.06515,106.7364644,-6.4989297,KEMANG
SO359516,0.12694741,0.0308,106.8166281,-6.410765,PANCORAN MAS
SO359507,1.19249532,0.1589758,106.812562,-6.3935547,PANCORAN MAS
SO359506,0.01670217,5.7999999999999995e-06,106.7040257,-6.1004357,KALI DERES
SO359504,0.13964038,0.071896,106.764154,-6.2025186,KEMBANGAN
SO359500,0.43,0.1,106.7759993,-6.2716408,KEBAYORAN LAMA
SO359498,0.06012245,0.02898,106.8436108,-6.4748675,CIBINONG
SO359496,0.557339,0.135075,106.7878718,-6.3789251,CINERE
SO359486,0.378093301,0.16348400000000002,106.7812859,-6.3561179,CINERE
SO359484,0.32453685,0.040091999999999996,106.7229529,-6.2204562,KEMBANGAN
SO359481,0.3136885,0.0964,106.7347194,-6.3762504,BOJONGSARI
SO359479,1.4932192,0.27405799999999997,106.86941,-6.382026,CIMANGGIS
SO359477,0.294798445,0.117155,106.7554747,-6.294643,CIPUTAT TIMUR
SO359476,0.225256,0.018953,106.7115701,-6.2761932,PONDOK AREN
SO359471,0.17507,0.09,106.8529352,-6.381883,SUKMAJAYA
SO359468,0.17507,0.09,106.737401,-6.128039,CENGKARENG
SO359467,1.91470144,0.5086066,106.865399,-6.4368734,TAPOS
SO359465,0.3274005,0.1698,106.6011826,-6.2075488,CIBODAS
SO359457,2.15,0.5,106.7363816,-6.3487415,PAMULANG
SO359452,0.233368,0.06,106.7989929,-6.4810748,BOJONG GEDE
SO359450,0.1161118,0.059257,106.7864473,-6.4476503,BOJONG GEDE
SO359449,0.18279925,0.0458,106.7123673,-6.2426429,CILEDUG
SO359446,1.0051188,0.14428,106.7277554,-6.2398318,LARANGAN
SO359444,2.38310376,0.825,106.76637,-6.40078,SAWANGAN
SO359443,17.2,4.0,106.7215289,-6.3124113,CIPUTAT
SO359442,2.337287465,0.524389,106.8230419,-6.4189773,SUKMAJAYA
SO359441,4.3,1.0,106.895996,-6.401955,TAPOS
SO359439,3.28015943,0.4522152,106.7592342,-6.1983083,KEMBANGAN
SO359434,4.3,1.0,106.8719958,-6.3797413,CIMANGGIS
SO359431,0.053681,0.023710000000000002,106.784288,-6.447878,BOJONG GEDE
SO359429,0.06725025,0.015425000000000001,106.6964433,-6.1685182,KALI DERES
SO359421,0.22974076,0.09179000000000001,106.723,-6.11388,KALI DERES
SO359418,0.20405,0.0968,106.7892108,-6.4953564,BOJONG GEDE
SO359417,0.54704,0.425,106.896044,-6.401937,TAPOS
SO359406,0.72464236,0.2350403,106.6959326,-6.169279,KALI DERES
SO359404,0.025688,0.010367000000000001,106.6838251,-6.1340484,BENDA
SO359401,0.171548,0.09642,106.7670195,-6.2202975,KEBON JERUK
SO359400,0.172,0.04,106.7044791,-6.2528224,CILEDUG
SO359398,0.1821672,0.053366,106.6799541,-6.2363922,PONDOK AREN
SO359389,0.025688,0.003953,106.7491161,-6.1433231,CENGKARENG
SO359381,0.369688,0.0832,106.7261263,-6.2490316,LARANGAN
SO359380,0.2532685,0.096512,106.6666527,-6.1619506,BATUCEPER
SO359375,0.15133925,0.0690395,106.595462,-6.3047115,LEGOK
SO359366,0.34816017,0.078193,106.6138092,-6.2341107,KELAPA DUA
SO359363,0.43,0.1,106.702967,-6.315348,SERPONG
SO359357,0.07678,0.021939,106.7527731,-6.2985361,CIPUTAT TIMUR
SO359353,0.025688,0.0064290000000000007,106.7057542,-6.122352,KALI DERES
SO359349,0.17589439,0.094854,106.8139351,-6.3125335,PASAR MINGGU
SO359348,0.13681117,0.0866078,106.6959326,-6.169279,KALI DERES
SO359345,0.025688,0.00081000000000000006,106.8052268,-6.4628622,BOJONG GEDE
SO359339,0.267205047,0.050816,106.5496489,-6.2861455,PANONGAN
SO359326,0.822636,0.096835499999999991,106.6664,-6.32805,SETU
SO359322,0.13073,0.061759999999999995,106.5510433,-6.2014401,CIKUPA
SO359314,0.179816,0.012058,106.7985176,-6.4170226,CIPAYUNG
SO359307,0.262605,0.135,106.7127987,-6.3242494,CIPUTAT
SO359305,0.200758,0.092,106.7954163,-6.2627458,KEBAYORAN BARU
