origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan
SO360480,0.6309035,0.170303,106.7010798,-6.3175386,SERPONG
SO360457,0.101304785,0.092769999999999991,106.7559116,-6.4194942,SAWANGAN
SO360455,0.044988585,0.076,106.7914413,-6.3520658,CINERE
SO360451,0.07266546,0.027800000000000002,106.573209,-6.2532139,CURUG
SO360450,0.4572852,0.088,106.83469,-6.38917,SUKMAJAYA
SO360449,0.025688,0.0011,106.5914107,-6.2764428,LEGOK
SO360439,0.412751,0.2154,106.820072,-6.3610326,BEJI
SO360430,0.393032585,0.026706800000000003,106.7839146,-6.4324684,SAWANGAN
SO360422,0.025688,0.006875,106.6952695,-6.0821683,KOSAMBI
SO360411,0.24916696,0.038785,106.7944244,-6.3120176,CILANDAK
SO360410,0.34388225,0.028165,106.7378986,-6.2866931,CIPUTAT TIMUR
SO360404,0.9109748,0.348,106.8447646,-6.3067293,JAGAKARSA
SO360402,0.04970675,0.0101,106.6524316,-6.1527842,BATUCEPER
SO360390,0.2245118,0.029251000000000003,106.82822,-6.34419,JAGAKARSA
SO360386,0.16016523,0.032884000000000004,106.7321205,-6.1534729,CENGKARENG
SO360384,0.08942,0.043393999999999995,106.73817,-6.14229,CENGKARENG
SO360374,0.127371,0.0453,106.6857856,-6.2317288,PONDOK AREN
SO360373,0.217895,0.039020000000000006,106.6918559,-6.2604232,PONDOK AREN
SO360372,0.11862625,0.013515000000000001,106.8260627,-6.3224762,PASAR MINGGU
SO360348,0.12759525,0.030594999999999997,106.8676014,-6.4128293,TAPOS
SO360345,0.283286,0.012962999999999999,106.727471,-6.2305693,LARANGAN
SO360340,0.025688,0.001655,106.5274541,-6.107655,RAJEG
SO360332,0.025688,0.00017,106.5229766,-6.1152323,RAJEG
SO360315,0.3635455,0.048219,106.7320167,-6.2783634,CIPUTAT TIMUR
SO360299,0.0966645,0.016575,106.6924774,-6.3746468,GUNUNG SINDUR
SO360296,0.1717565,0.049113,106.7061602,-6.2376832,CILEDUG
SO360289,0.388682,0.046973,106.7114553,-6.489514,KEMANG
SO360287,0.20325075,0.042466000000000004,106.7265833,-6.3475936,PAMULANG
SO360268,0.164004,0.0191175,106.7978672,-6.2890939,CILANDAK
SO360267,0.21188393,0.121374,106.7163545,-6.2418568,CILEDUG
SO360253,0.025688,0.00219,106.7596573,-6.2956642,CIPUTAT TIMUR
SO360251,0.05052892,0.015550000000000001,106.7074373,-6.3773042,GUNUNG SINDUR
SO360244,0.0574365,0.0066799999999999993,106.618543,-6.238657,KELAPA DUA
SO360243,0.07866184,0.0368,106.968772,-6.322076,GUNUNG PUTRI
SO360235,1.587425,0.32,106.5279875,-6.2280049,CIKUPA
SO360234,0.060702,0.023194,106.5480635,-6.1993874,CIKUPA
SO360213,0.060702,0.023194,106.6833101,-6.2360255,PONDOK AREN
SO360206,0.17507,0.09,106.8938623,-6.380323,CIMANGGIS
SO360200,0.112838,0.051192,106.75173,-6.29043,CIPUTAT TIMUR
SO360188,0.16097084,0.084441999999999989,106.6419294,-6.4548328,RUMPIN
